location-id,semantic-place
1010100001,SMUSISL1LOBBY
1010100002,SMUSISL1LOBBY
1010100003,SMUSISL1LOBBY
1010100004,SMUSISL1LOBBY
1010100005,SMUSISL1LOBBY
1010100006,SMUSISL1WAITINGAREA
1010100007,SMUSISL1WAITINGAREA
1010100008,SMUSISL1WAITINGAREA
1010100009,SMUSISL1WAITINGAREA
1010100010,SMUSISL1WAITINGAREA
1010100011,SMUSISL1WAITINGAREA
1010100012,SMUSISL1WAITINGAREA
1010100013,SMUSISL1WAITINGAREA
1010100014,SMUSISL1WAITINGAREA
1010100015,SMUSISL1WAITINGAREA
1010100016,SMUSISL1WAITINGAREA
1010100017,SMUSISL1WAITINGAREA
1010100018,SMUSISL1RECEPTION
1010100019,SMUSISL1RECEPTION
1010100020,SMUSISL1RECEPTION
1010100023,SMUSISL1RECEPTION
1010100025,SMUSISL1WAITINGAREA
1010100027,SMUSISL1LOBBY
1010100029,SMUSISL1LOBBY
1010100032,SMUSISL1LOBBY
1010100034,SMUSISL1LOBBY
1010100036,SMUSISL1LOBBY
1010100038,SMUSISL1RECEPTION
1010110001,SMUSISB1CORRIDORTOSOE
1010110004,SMUSISB1CORRIDORTOSOE
1010110005,SMUSISB1CORRIDORTOSOE
1010110007,SMUSISB1CORRIDORTOSOE
1010110008,SMUSISB1CORRIDORTOSOE
1010110011,SMUSISB1CORRIDORTOSOE
1010110013,SMUSISB1CORRIDORTOSOE
1010110016,SMUSISB1CORRIDORTOSOE
1010110019,SMUSISB1LIFTLOBBY
1010110020,SMUSISB1LIFTLOBBY
1010110021,SMUSISB1LIFTLOBBY
1010110024,SMUSISB1LIFTLOBBY
1010110025,SMUSISB1LIFTLOBBY
1010110027,SMUSISB1LIFTLOBBY
1010110028,SMUSISB1LIFTLOBBY
1010110030,SMUSISB1LIFTLOBBY
1010110035,SMUSISB1LIFTLOBBY
1010110038,SMUSISB1STUDYAREA
1010110040,SMUSISB1STUDYAREA
1010110044,SMUSISB1STUDYAREA
1010110045,SMUSISB1STUDYAREA
1010110049,SMUSISB1STUDYAREA
1010110051,SMUSISB1STUDYAREA
1010110053,SMUSISB1STUDYAREA
1010110057,SMUSISB1STUDYAREA
1010110059,SMUSISB1STUDYAREA
1010110061,SMUSISB1STUDYAREA
1010110062,SMUSISB1STUDYAREA
1010110066,SMUSISB1STUDYAREA
1010110067,SMUSISB1STUDYAREA
1010110068,SMUSISB1NEAROSL
1010110069,SMUSISB1NEAROSL
1010110073,SMUSISB1NEAROSL
1010110076,SMUSISB1NEAROSL
1010110077,SMUSISB1NEAROSL
1010110080,SMUSISB1NEAROSL
1010110081,SMUSISB1NEAROSL
1010110084,SMUSISB1CORRIDORTOLKS
1010110085,SMUSISB1CORRIDORTOLKS
1010110089,SMUSISB1CORRIDORTOLKS
1010110093,SMUSISB1CORRIDORTOLKS
1010110096,SMUSISB1CORRIDORTOLKS
1010110097,SMUSISB1CORRIDORTOLKS
1010110100,SMUSISB1CORRIDORTOLKS
1010110150,SMUSISB1NEAROSL
1010110152,SMUSISB1NEAROSL
1010110154,SMUSISB1CORRIDORTOLKS
1010110156,SMUSISB1CORRIDORTOLKS
1010200001,SMUSISL2LOBBY
1010200003,SMUSISL2LOBBY
1010200011,SMUSISL2LOBBY
1010200012,SMUSISL2LOBBY
